program_id,program_name,category,participant_id,enrollment_date,completion_status,outcome_score,notes
3,Community Health Outreach,Health,P1000,2025-06-24,In Progress,54,Participant showed strong engagement
2,Affordable Housing Support,Housing,P1001,2025-07-13,Completed,85,Left program early
2,Affordable Housing Support,Housing,P1002,2025-06-09,Dropped,6,Left program early
4,Job Readiness Training,Employment,P1003,2025-07-11,In Progress,32,Attendance was irregular
2,Affordable Housing Support,Housing,P1004,2025-10-15,Dropped,51,Attendance was irregular
2,Affordable Housing Support,Housing,P1005,2025-11-05,Completed,76,Requires follow-up support
2,Affordable Housing Support,Housing,P1006,2025-08-02,In Progress,50,Participant showed strong engagement
1,Youth Skills Development,Youth,P1007,2025-09-13,Dropped,48,Left program early
3,Community Health Outreach,Health,P1008,2025-08-01,Completed,94,Left program early
4,Job Readiness Training,Employment,P1009,2025-11-29,Dropped,55,Left program early
1,Youth Skills Development,Youth,P1010,2025-07-11,Dropped,51,Requires follow-up support
3,Community Health Outreach,Health,P1011,2026-01-17,Dropped,57,Excellent improvement observed
3,Community Health Outreach,Health,P1012,2025-05-26,In Progress,44,Attendance was irregular
2,Affordable Housing Support,Housing,P1013,2025-10-21,In Progress,59,Excellent improvement observed
1,Youth Skills Development,Youth,P1014,2025-06-22,Dropped,40,Requires follow-up support
2,Affordable Housing Support,Housing,P1015,2026-01-03,Completed,96,Excellent improvement observed
4,Job Readiness Training,Employment,P1016,2025-12-04,Dropped,5,Requires follow-up support
3,Community Health Outreach,Health,P1017,2026-01-10,Completed,70,Completed all required activities
4,Job Readiness Training,Employment,P1018,2025-04-14,Dropped,26,Attendance was irregular
3,Community Health Outreach,Health,P1019,2025-08-18,Completed,69,Attendance was irregular
3,Community Health Outreach,Health,P1020,2025-05-30,In Progress,41,Participant showed strong engagement
3,Community Health Outreach,Health,P1021,2026-01-02,Dropped,34,Excellent improvement observed
3,Community Health Outreach,Health,P1022,2025-08-25,Completed,93,Attendance was irregular
3,Community Health Outreach,Health,P1023,2025-12-05,In Progress,30,Participant showed strong engagement
1,Youth Skills Development,Youth,P1024,2025-06-22,Completed,82,Participant showed strong engagement
2,Affordable Housing Support,Housing,P1025,2025-07-15,In Progress,56,Completed all required activities
2,Affordable Housing Support,Housing,P1026,2025-05-16,In Progress,35,Attendance was irregular
1,Youth Skills Development,Youth,P1027,2025-06-02,Dropped,32,Attendance was irregular
2,Affordable Housing Support,Housing,P1028,2025-08-25,Dropped,20,Participant showed strong engagement
3,Community Health Outreach,Health,P1029,2026-01-22,In Progress,41,Participant showed strong engagement
3,Community Health Outreach,Health,P1030,2025-04-18,Dropped,46,Completed all required activities
3,Community Health Outreach,Health,P1031,2025-12-03,Completed,99,Participant showed strong engagement
2,Affordable Housing Support,Housing,P1032,2025-08-08,Completed,87,Participant showed strong engagement
3,Community Health Outreach,Health,P1033,2025-06-18,In Progress,48,Left program early
4,Job Readiness Training,Employment,P1034,2025-06-02,Dropped,36,Participant showed strong engagement
1,Youth Skills Development,Youth,P1035,2025-02-14,Completed,71,Participant showed strong engagement
3,Community Health Outreach,Health,P1036,2025-05-18,In Progress,57,Attendance was irregular
1,Youth Skills Development,Youth,P1037,2025-06-02,Completed,78,Requires follow-up support
3,Community Health Outreach,Health,P1038,2025-11-18,Completed,63,Completed all required activities
4,Job Readiness Training,Employment,P1039,2025-07-15,In Progress,66,Requires follow-up support
4,Job Readiness Training,Employment,P1040,2025-07-21,Completed,85,Requires follow-up support
3,Community Health Outreach,Health,P1041,2025-11-21,In Progress,56,Requires follow-up support
3,Community Health Outreach,Health,P1042,2025-04-13,Dropped,54,Left program early
2,Affordable Housing Support,Housing,P1043,2026-01-29,Completed,98,Attendance was irregular
4,Job Readiness Training,Employment,P1044,2025-08-23,In Progress,67,Completed all required activities
4,Job Readiness Training,Employment,P1045,2025-10-27,Dropped,29,Participant showed strong engagement
1,Youth Skills Development,Youth,P1046,2025-08-31,Completed,87,Participant showed strong engagement
1,Youth Skills Development,Youth,P1047,2025-10-11,Completed,87,Excellent improvement observed
3,Community Health Outreach,Health,P1048,2025-06-22,In Progress,41,Excellent improvement observed
4,Job Readiness Training,Employment,P1049,2025-09-06,In Progress,46,Left program early
1,Youth Skills Development,Youth,P1050,2025-09-24,In Progress,57,Participant showed strong engagement
2,Affordable Housing Support,Housing,P1051,2025-10-02,Dropped,20,Left program early
1,Youth Skills Development,Youth,P1052,2025-05-21,Completed,87,Attendance was irregular
1,Youth Skills Development,Youth,P1053,2025-08-21,Dropped,51,Participant showed strong engagement
2,Affordable Housing Support,Housing,P1054,2026-01-30,Dropped,26,Attendance was irregular
1,Youth Skills Development,Youth,P1055,2025-05-18,Dropped,3,Requires follow-up support
3,Community Health Outreach,Health,P1056,2025-02-06,Dropped,30,Participant showed strong engagement
3,Community Health Outreach,Health,P1057,2025-06-07,Dropped,1,Left program early
3,Community Health Outreach,Health,P1058,2025-03-27,Dropped,15,Attendance was irregular
4,Job Readiness Training,Employment,P1059,2025-05-19,Dropped,42,Completed all required activities
2,Affordable Housing Support,Housing,P1060,2025-12-28,Dropped,23,Participant showed strong engagement
3,Community Health Outreach,Health,P1061,2025-05-25,Dropped,33,Requires follow-up support
4,Job Readiness Training,Employment,P1062,2025-02-12,Dropped,15,Requires follow-up support
3,Community Health Outreach,Health,P1063,2025-06-19,In Progress,31,Excellent improvement observed
2,Affordable Housing Support,Housing,P1064,2025-07-03,Completed,73,Requires follow-up support
3,Community Health Outreach,Health,P1065,2025-12-01,Completed,92,Completed all required activities
3,Community Health Outreach,Health,P1066,2025-06-08,Completed,75,Completed all required activities
1,Youth Skills Development,Youth,P1067,2025-03-16,Dropped,41,Excellent improvement observed
4,Job Readiness Training,Employment,P1068,2025-09-09,In Progress,53,Participant showed strong engagement
1,Youth Skills Development,Youth,P1069,2025-03-12,Completed,63,Requires follow-up support
2,Affordable Housing Support,Housing,P1070,2025-10-22,Dropped,35,Completed all required activities
1,Youth Skills Development,Youth,P1071,2025-07-12,Completed,93,Completed all required activities
2,Affordable Housing Support,Housing,P1072,2025-11-19,In Progress,57,Left program early
3,Community Health Outreach,Health,P1073,2025-03-17,In Progress,34,Participant showed strong engagement
3,Community Health Outreach,Health,P1074,2025-04-25,In Progress,44,Excellent improvement observed
